Year,Quarter,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2000,2,XX,32103870.316999998,508585.0,46727435.870000005,4906718.649999999,20308.06
2000,3,AK,434891.19,6616.0,723506.1100000001,0.0,0.0
2000,3,AL,470441.0,10910.0,1028594.9599999998,0.0,0.0
2000,3,AR,297790.0,4672.0,504870.99000000005,0.0,0.0
2000,3,CA,1906117.0,17427.0,4421648.52,0.0,0.0
2000,3,CO,411893.401,8024.0,450488.87999999995,0.0,0.0
2000,3,CT,875591.269,14942.0,1315172.74,0.0,0.0
2000,3,DC,90690.0,1539.0,139197.98,0.0,0.0
2000,3,DE,364914.0,6717.0,374518.02999999997,0.0,0.0
2000,3,FL,3023012.5,48478.0,6007289.86,0.0,0.0
2000,3,GA,1290947.0,25454.0,2129732.64,0.0,0.0
2000,3,HI,170589.0,2411.0,337645.55,0.0,0.0
2000,3,ID,118957.0,1972.0,268247.1,0.0,0.0
2000,3,IL,453496.0,6685.0,843021.74,0.0,0.0
2000,3,IN,549239.0,9985.0,1047899.5899999999,660482.1599999999,19608.84
2000,3,KS,255511.0,4009.0,430744.05000000005,6965.549999999999,0.0
2000,3,KY,475145.0,7439.0,858521.78,26146.7,0.0
2000,3,LA,650035.0,12654.0,1069971.8900000001,17272.260000000002,0.0
2000,3,MA,2495416.0,38519.0,3211396.95,0.0,0.0
2000,3,MD,81080.0,903.0,18581.71,0.0,0.0
2000,3,ME,846255.0,13554.0,1066305.84,0.0,0.0
2000,3,MI,610856.0,7162.0,1324186.66,0.0,0.0
2000,3,MN,465748.0,7732.0,521705.54999999993,0.0,0.0
2000,3,MO,1045579.0,16046.0,1940944.3199999998,0.0,0.0
2000,3,MS,405670.0,7257.0,1053612.45,0.0,0.0
2000,3,MT,211097.002,3797.0,256977.88000000003,0.0,0.0
2000,3,NC,2450482.0,40650.0,2950522.0300000003,2126314.47,0.0
2000,3,ND,56032.0,1127.0,80475.98999999999,0.0,0.0
2000,3,NE,218816.0,4168.0,260539.1,0.0,0.0
2000,3,NH,352359.0,6951.0,502466.35,497716.6,0.0
2000,3,NJ,1282412.0,21297.0,1650911.02,12280.7,0.0
2000,3,NM,97016.0,1257.0,153782.72,0.0,0.0
2000,3,NV,142408.0,2144.0,328304.26,328304.26,0.0
2000,3,NY,2418741.0,21819.0,2452189.22,36608.14,0.0
2000,3,OH,2277246.0,42821.0,3886001.76,0.0,0.0
2000,3,OK,334695.64,4719.0,496408.1000000001,14856.55,0.0
2000,3,OR,459881.4,7157.0,576508.7699999999,0.0,0.0
2000,3,PA,1511820.0,26996.0,2215423.94,0.0,0.0
2000,3,RI,210391.0,3326.0,330812.29000000004,0.0,0.0
2000,3,SC,920144.0,15695.0,1664060.0999999999,1476115.67,0.0
2000,3,SD,47817.0,936.0,60631.17999999999,863.41,0.0
2000,3,TN,675753.0,12015.0,785013.0599999999,0.0,0.0
2000,3,TX,591016.0,6104.0,1453161.1400000001,441016.55,0.0
2000,3,UT,259780.0,5491.0,362449.46,0.0,0.0
2000,3,VA,990173.0,16753.0,1343562.52,0.0,0.0
2000,3,VT,40277.0,876.0,73946.19,0.0,0.0
2000,3,WA,1674828.0,25467.0,2187271.14,0.0,0.0
2000,3,WI,947542.0,14796.0,1356152.85,0.0,0.0
2000,3,WV,730072.6,12731.0,1149072.84,0.0,0.0
2000,3,WY,47508.0,943.0,47061.700000000004,0.0,0.0
2000,3,XX,37293279.402,586487.0,58018061.84,5650112.77,19608.84
2000,4,AK,474043.0,6933.0,825415.65,0.0,0.0
2000,4,AL,584041.009,13151.0,1356907.6000000003,0.0,0.0
2000,4,AR,332811.0,5028.0,571465.7000000001,0.0,0.0
2000,4,CA,2177662.0,19801.0,5181869.94,0.0,0.0
2000,4,CO,432181.6,8404.0,533376.3300000001,0.0,0.0
2000,4,CT,954041.0,16119.0,1588199.42,0.0,0.0
2000,4,DC,134494.0,2359.0,232492.71000000002,0.0,0.0
2000,4,FL,3282364.4,52790.0,7393998.559999999,0.0,0.0
2000,4,GA,1212379.0,23379.0,2161556.92,2051469.48,0.0
2000,4,HI,164263.0,2372.0,307409.19,0.0,0.0
2000,4,IA,307975.0,4679.0,493598.85,0.0,0.0
2000,4,ID,148543.0,2553.0,320671.39,0.0,0.0
2000,4,IL,389081.0,5744.0,758034.5400000002,0.0,0.0
2000,4,IN,937472.0,14245.0,1785399.58,1157218.33,29666.61
2000,4,KS,269204.0,4314.0,494669.18,8617.57,0.0
2000,4,KY,516606.0,7493.0,1013382.97,299419.15,0.0
2000,4,LA,642239.0,12519.0,1139135.6400000001,7940.98,0.0
2000,4,MA,2818993.0,43332.0,3779827.5799999996,0.0,0.0
2000,4,MD,499825.0,9502.0,640463.77,0.0,0.0
2000,4,ME,899511.0,14290.0,1186338.96,0.0,0.0
2000,4,MI,977610.0,11825.0,2199875.26,0.0,0.0
2000,4,MN,407163.003,7003.0,504778.1899999999,0.0,0.0
2000,4,MO,1226806.0,18507.0,2397781.6500000004,0.0,0.0
2000,4,MS,558640.021,10273.0,1357843.17,0.0,0.0
2000,4,MT,202135.014,3725.0,274535.05,0.0,0.0
2000,4,NC,2585487.0,41426.0,3412678.56,0.0,0.0
2000,4,ND,53657.0,1046.0,79202.85999999999,0.0,0.0
2000,4,NE,241051.0,4360.0,309244.57,0.0,0.0
2000,4,NH,389397.0,7430.0,600853.2000000001,569227.2,0.0
2000,4,NJ,1326347.0,21633.0,1894533.94,18754.370000000003,0.0
2000,4,NM,101346.0,1230.0,173819.5,0.0,0.0
2000,4,NV,173353.0,2519.0,383718.76,383718.76,0.0
2000,4,NY,2565000.0,23083.0,2734028.83,40957.89,0.0
2000,4,OH,2527469.0,47218.0,4557332.5,0.0,0.0
2000,4,OK,355337.05,4979.0,605145.71,12912.960000000001,0.0
2000,4,OR,542229.0,8058.0,705839.64,0.0,0.0
2000,4,PA,1612419.0,28387.0,2535423.94,0.0,0.0
2000,4,RI,240820.0,3786.0,414256.5200000001,0.0,0.0
2000,4,SC,1211003.0,19675.0,2486529.87,2179212.63,0.0
2000,4,SD,55965.0,992.0,72894.98000000001,748.71,0.0
2000,4,TN,890753.0,15116.0,1259628.9500000002,0.0,0.0
2000,4,TX,659694.0,6860.0,1699778.14,534033.1,0.0
2000,4,UT,268686.0,5358.0,375794.7,0.0,0.0
2000,4,VA,1020055.0,16603.0,1527412.85,0.0,0.0
2000,4,VT,55116.0,1241.0,104728.47999999998,0.0,0.0
2000,4,WA,1777314.0,26801.0,2551509.67,0.0,0.0
2000,4,WI,1031355.0,16034.0,1574827.09,0.0,0.0
2000,4,WV,879181.25,15079.0,1485721.2900000003,0.0,0.0
2000,4,WY,49487.0,996.0,51062.520000000004,0.0,0.0
2000,4,XX,41688804.096999995,645223.0,70449608.47000001,7276237.260000001,29666.609999999997
2001,1,AK,570962.0,7763.0,1001161.44,0.0,0.0
2001,1,AL,639692.0,13888.0,1507885.3100000003,0.0,0.0
2001,1,AR,360844.0,5208.0,620185.77,0.0,0.0
2001,1,CA,2484406.0,21376.0,5914273.78,0.0,0.0
2001,1,CO,479217.0,9142.0,653925.04,0.0,0.0
2001,1,CT,999797.0,16936.0,1696622.66,0.0,0.0
2001,1,DC,113719.0,2217.0,196548.94999999998,0.0,0.0
2001,1,DE,456252.0,7756.0,543875.2700000001,0.0,0.0
2001,1,FL,3479877.4,55968.0,8257048.119999999,0.0,0.0
2001,1,GA,1413418.0,28835.0,2681649.3200000003,0.0,0.0
2001,1,HI,209548.0,3043.0,413160.87,0.0,0.0
2001,1,IA,96057.0,1789.0,181131.31999999998,0.0,0.0
2001,1,ID,170277.0,2861.0,373227.60000000003,0.0,0.0
2001,1,IL,516177.0,7619.0,946316.25,0.0,0.0
2001,1,IN,985243.0,16117.0,1980989.8800000001,1270117.8499999999,31115.929999999997
2001,1,KS,272517.0,4412.0,526689.43,0.0,0.0
2001,1,KY,525847.0,7910.0,1043513.15,326302.92,0.0
2001,1,LA,646106.0,12317.0,1246642.3199999998,0.0,0.0
2001,1,MA,3024645.0,46318.0,4277824.57,0.0,0.0
2001,1,MD,563403.0,11150.0,767817.37,0.0,0.0
2001,1,ME,920866.0,14648.0,1155697.2699999998,0.0,0.0
2001,1,MI,865016.0,10153.0,2174768.94,0.0,0.0
2001,1,MN,493629.0,8402.0,628620.58,1619.85,0.0
2001,1,MO,1301065.0,19431.0,2703256.35,0.0,0.0
2001,1,MS,610352.022,11593.0,1467875.07,1226122.56,0.0
2001,1,MT,256030.0,4730.0,370186.91,0.0,0.0
2001,1,NC,3192174.0,51072.0,4424940.26,0.0,0.0
2001,1,ND,66502.0,1230.0,94344.34,0.0,0.0
2001,1,NE,243195.0,4377.0,331276.64,0.0,0.0
2001,1,NH,380650.0,7346.0,612095.87,579255.33,0.0
2001,1,NJ,1309113.0,21598.0,2021821.21,15617.79,0.0
2001,1,NM,112803.04000000001,1482.0,190642.48999999996,0.0,0.0
2001,1,NV,203100.0,2946.0,474916.50000000006,474916.50000000006,0.0
2001,1,NY,2608480.0,23481.0,3091503.1900000004,44637.04,0.0
2001,1,OH,2751064.0,51107.0,5101763.449999999,0.0,0.0
2001,1,OK,363104.2,5100.0,622727.69,1613.12,0.0
2001,1,OR,684450.0,10203.0,946323.9299999999,0.0,0.0
2001,1,PA,1732576.0,29976.0,2919110.04,0.0,0.0
2001,1,RI,255078.0,3979.0,445959.30000000005,0.0,0.0
2001,1,SC,1201049.0,19110.0,2686691.5,2553962.1900000004,0.0
2001,1,SD,61461.0,1118.0,82445.68,869.9,0.0
2001,1,TN,1036688.0,17616.0,1613355.0,0.0,0.0
2001,1,TX,678084.0,6952.0,1869532.3900000001,601714.5800000001,0.0
2001,1,UT,286396.0,5977.0,423215.1399999999,0.0,0.0
2001,1,VA,1020976.0,16222.0,1558322.78,0.0,0.0
2001,1,VT,19130.0,314.0,25330.45,0.0,0.0
2001,1,WA,1978740.0,29658.0,2958439.2199999997,0.0,0.0
2001,1,WI,1046043.0,16361.0,1683017.21,0.0,0.0
2001,1,WV,903704.4,15297.0,1597140.6599999997,0.0,0.0
2001,1,WY,53610.0,1120.0,65113.55,0.0,0.0
2001,1,XX,45008510.662,699913.0,79500030.47,7103411.569999999,31115.929999999997
2001,2,AK,561652.0,7669.0,1056681.92,0.0,0.0
2001,2,AL,570954.4299999999,12329.0,1329395.0499999998,0.0,0.0
2001,2,AR,391017.0,5635.0,674002.33,0.0,0.0
2001,2,CA,2741600.0,23604.0,6591616.710000001,0.0,0.0
2001,2,CT,1038661.0,17324.0,1679299.0400000003,0.0,0.0
2001,2,DC,125520.0,2298.0,191298.34999999998,0.0,0.0
2001,2,DE,478062.0,8146.0,578806.74,0.0,0.0
2001,2,FL,3671641.4,58784.0,9008545.76,0.0,0.0
2001,2,GA,1690437.0,32270.0,3293611.3,77594.32,0.0
2001,2,HI,234467.0,3179.0,515753.68000000005,0.0,0.0
2001,2,IA,324376.0,5037.0,589956.7199999999,0.0,0.0
2001,2,ID,178925.0,2987.0,386602.31,0.0,0.0
2001,2,IL,702748.0,9903.0,1263149.12,0.0,0.0
2001,2,IN,1033499.0,16948.0,2180737.4299999997,1289497.3199999998,36787.04
2001,2,KS,304949.0,4889.0,590792.7200000001,0.0,0.0
2001,2,KY,496351.0,7450.0,944325.3400000001,307797.01,0.0
2001,2,LA,662071.0,12567.0,1208946.6800000002,0.0,0.0
2001,2,MA,2981049.0,45365.0,4408520.709999999,0.0,0.0
2001,2,MD,592564.0,11689.0,796248.98,0.0,0.0
2001,2,ME,947041.0,15167.0,1159469.03,0.0,0.0
2001,2,MI,929914.0,11651.0,2186293.91,0.0,0.0
2001,2,MN,449745.0,7804.0,613356.03,0.0,0.0
2001,2,MO,1395886.0,20592.0,2912734.06,0.0,0.0
2001,2,MS,651328.0,12471.0,1564873.67,1423085.72,0.0
2001,2,MT,224651.0,4081.0,351496.29000000004,0.0,0.0
2001,2,NC,3208275.0,51634.0,4470945.05,0.0,0.0
2001,2,ND,72238.0,1365.0,103089.96,0.0,0.0
2001,2,NE,262502.0,4615.0,358835.3,0.0,0.0
2001,2,NH,376129.0,7183.0,607238.96,581812.7,0.0
2001,2,NJ,1354358.0,22889.0,2139559.95,18084.18,0.0
2001,2,NM,129414.0,1651.0,224050.84,0.0,0.0
2001,2,NV,202026.0,3014.0,485004.31,485004.31,0.0
2001,2,NY,2671018.0,24735.0,3243402.84,41029.13,0.0
2001,2,OH,2725770.0,50536.0,4819617.11,0.0,0.0
2001,2,OK,374250.378,5084.0,655023.1499999999,0.0,0.0
2001,2,OR,762169.0,11532.0,1102701.6200000003,0.0,0.0
2001,2,PA,1857354.0,31872.0,3059751.0399999996,0.0,0.0
2001,2,RI,286540.0,4347.0,483602.70999999996,0.0,0.0
2001,2,SC,1245295.06,19901.0,2510615.1,2266630.23,0.0
2001,2,SD,70611.0,1285.0,97025.96,1337.94,0.0
2001,2,TN,1158456.0,19129.0,1885398.87,0.0,0.0
2001,2,TX,757884.0,7636.0,1998278.9799999997,649094.2699999999,0.0
2001,2,UT,311552.0,6415.0,488617.89999999997,0.0,0.0
2001,2,VA,1029698.0,16360.0,1519834.35,0.0,0.0
2001,2,VT,112660.0,2154.0,188231.47,0.0,0.0
2001,2,WA,2128747.439,32659.0,3236727.3600000003,0.0,0.0
2001,2,WI,1086628.0,16257.0,1741002.6600000001,0.0,0.0
2001,2,WV,806464.8,13977.0,1352546.3699999999,0.0,0.0
2001,2,WY,63175.0,1303.0,72422.62,0.0,0.0
2001,2,XX,46783328.207,721905.0,83258492.92,7155997.51,36787.04
2001,3,AK,642740.0,8556.0,1254913.22,0.0,0.0
2001,3,AL,508896.0,11096.0,1161088.46,0.0,0.0
2001,3,AR,400024.0,5786.0,678991.0,0.0,0.0
2001,3,CA,987986.0,7481.0,262684.89,0.0,0.0
2001,3,CO,559863.0,10636.0,802682.9900000001,0.0,0.0
2001,3,CT,1046233.0,17024.0,1662137.52,0.0,0.0
2001,3,DC,118577.0,2343.0,163433.66999999998,0.0,0.0
2001,3,DE,517275.0,8747.0,572981.79,0.0,0.0
2001,3,FL,3341131.06,53627.0,7898679.890000001,0.0,0.0
2001,3,GA,1624290.0,31118.0,3102287.1099999994,0.0,0.0
2001,3,HI,251671.0,3088.0,515819.45999999996,0.0,0.0
2001,3,IA,348673.0,5236.0,580667.1599999999,0.0,0.0
2001,3,ID,38374.0,552.0,12237.16,0.0,0.0
2001,3,IL,563300.0,8320.0,1094262.0,4040.78,0.0
2001,3,IN,1086184.0,15490.0,2267728.41,1270396.2399999998,40362.130000000005
2001,3,KS,306331.0,4862.0,596481.48,0.0,0.0
2001,3,KY,464089.0,7064.0,902520.7300000001,719205.6000000001,0.0
2001,3,LA,696170.0,13512.0,1247170.9799999997,8629.62,0.0
2001,3,MA,3597950.0,52893.0,5286531.73,0.0,0.0
2001,3,MD,613913.0,12234.0,817948.3300000001,0.0,0.0
2001,3,ME,1072797.0,16841.0,1235049.2500000002,0.0,0.0
2001,3,MI,902741.0,11606.0,2150796.66,0.0,0.0
2001,3,MN,538530.0,8966.0,743648.6900000001,0.0,0.0
2001,3,MO,1410742.0,20139.0,2899846.75,0.0,0.0
2001,3,MS,309285.0,6305.0,443652.83999999997,327377.11,0.0
2001,3,MT,276645.0,4730.0,447242.86,0.0,0.0
2001,3,NC,3122964.0,50647.0,4313498.2700000005,0.0,0.0
2001,3,ND,78101.0,1492.0,115030.28,0.0,0.0
2001,3,NE,282943.0,4898.0,393007.45000000007,0.0,0.0
2001,3,NH,384039.0,7218.0,592315.3999999998,592101.2899999999,0.0
2001,3,NJ,1335561.0,22462.0,2050272.9200000002,0.0,0.0
2001,3,NM,126940.0,1590.0,232586.59000000003,0.0,0.0
2001,3,NV,225140.0,3073.0,543167.1599999999,543167.1599999999,0.0
2001,3,NY,2646758.0,24509.0,3269986.6600000006,0.0,0.0
2001,3,OH,2831285.0,52250.0,4871679.05,0.0,0.0
2001,3,OK,457768.039,6302.0,834423.35,1164.79,0.0
2001,3,OR,819806.0,12235.0,1176328.95,0.0,0.0
