Year,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr
2013,39,Ohio,61380.0,996236.0,1009438.5999999999,66407199.1,256892.0,512121.0,521583.6000000001,26328814.830000002,156936.0,994021.43,6650945.670000001
2013,40,Oklahoma,13513.0,201381.0,203559.89999999997,25463236.72,52292.0,88371.0,89593.0,8394884.42,28452.0,259689.79,2106809.84
2013,41,Oregon,22607.0,332337.0,338428.0,22850309.089999996,83500.0,191288.0,195624.6,10159588.82,55808.0,317098.13,2724135.53
2013,42,Pennsylvania,76402.0,1135244.0,1148086.0000000002,95579851.78,306788.0,561554.0,569628.6000000001,33829954.93,185548.0,1110578.1600000001,8146317.9799999995
2013,44,Rhode Island,6888.0,77080.0,77159.9,7824348.779999999,21224.0,36270.0,36323.5,2544501.56,11856.0,93435.70999999999,622918.49
2013,45,South Carolina,18637.0,304982.0,305515.6,25631030.91,90549.0,133129.0,133362.9,8467115.729999999,48528.0,415340.35000000003,2396026.4099999997
2013,46,South Dakota,3265.0,29220.0,29546.5,2999607.33,8140.0,16104.0,16315.400000000001,1143205.56,5259.0,33249.490000000005,297592.68
2013,47,Tennessee,35833.0,687156.0,690376.3999999999,59023726.31000001,167948.0,277499.0,279396.9,18117354.36,84531.0,1049775.6199999999,4956236.66
2013,48,Texas,18274.0,216148.0,219374.9,40485640.300000004,56118.0,91121.0,92827.6,13421530.180000002,28420.0,329756.39,3205693.9799999995
2013,49,Utah,11694.0,134220.0,134428.4,10778571.049999999,36024.0,67508.0,67618.5,4025562.5900000003,22406.0,132498.43,1420311.13
2013,50,Vermont,3446.0,42591.0,42902.3,3637577.39,9943.0,17213.0,17416.2,1059479.67,5199.0,45276.78999999999,197469.11
2013,51,Virginia,34483.0,428450.0,433638.00000000006,30320486.14,122554.0,200891.0,204242.8,10419101.94,70918.0,497123.3900000001,3423812.4099999997
2013,53,Washington,35289.0,444394.0,451297.49999999994,28154596.860000003,116273.0,241785.0,246574.6,11786120.05,74505.0,407038.5,3691249.7300000004
2013,54,West Virginia,8566.0,159231.0,160458.1,10412208.099999998,38343.0,70205.0,70936.8,3657766.85,19906.0,189764.23,1106672.1
2013,55,Wisconsin,28287.0,380553.0,383876.3,36313231.16,87900.0,174178.0,176223.2,11147113.01,49908.0,371183.99000000005,2877772.5400000005
2013,56,Wyoming,2422.0,22050.0,22468.100000000002,1826092.79,6466.0,11685.0,11993.6,715302.7100000001,3990.0,20232.05,228631.58000000002
2013,60,American Samoa,1.0,14.0,15.0,270.78,0.0,0.0,0.0,0.0,0.0,4.95,115.1
2013,66,Guam,93.0,465.0,465.70000000000005,17892.58,188.0,248.0,248.4,5216.389999999999,123.0,721.55,5250.46
2013,69,Northern Mariana Islands,23.0,144.0,145.0,1948.26,52.0,43.0,43.0,460.77,20.0,312.78999999999996,1327.22
2013,72,Puerto Rico,7905.0,94206.0,94482.1,2075264.8199999998,33650.0,37490.0,37574.4,647073.7999999999,17799.0,9052.0,175643.06
2013,78,Virgin Islands,130.0,741.0,742.6,42798.369999999995,369.0,489.0,490.3,18282.71,232.0,346.71999999999997,11478.369999999999
2013,9B,Armed Forces Europe,56.0,379.0,380.0,13426.68,234.0,217.0,218.0,5245.97,147.0,204.73,3176.2599999999998
2013,9C,Armed Forces Pacific,19.0,79.0,79.0,987.88,70.0,24.0,24.0,185.48,23.0,62.400000000000006,347.29
2013,9E,Foreign Country,117.0,485.0,488.9,11926.71,349.0,200.0,200.2,5276.49,152.0,525.02,1501.49
2014,01,Alabama,13408.0,331602.0,334114.4,38030409.44,83547.0,135956.0,137230.3,13310115.78,43439.0,481280.93999999994,3192236.2099999995
2014,02,Alaska,2832.0,29583.0,29992.300000000003,3147074.27,7293.0,12517.0,12745.999999999998,984666.39,3750.0,23918.679999999997,167447.72999999998
2014,04,Arizona,30474.0,587094.0,594977.7,51313158.26,155543.0,315063.0,320720.7,22601636.75,103306.0,492760.99,6104318.49
2014,05,Arkansas,7627.0,176148.0,177408.90000000002,17013888.009999998,45562.0,70975.0,71654.9,5486203.5,23452.0,239066.28,1641317.88
2014,06,California,84191.0,976043.0,992954.7999999999,146264348.6,259289.0,553896.0,565465.2999999999,63727053.47,173352.0,776554.8700000001,9797778.459999999
2014,08,Colorado,25132.0,371686.0,376595.10000000003,31734787.930000003,96210.0,201969.0,205226.40000000002,13262365.769999998,62846.0,309668.36000000004,3275776.8200000003
2014,09,Connecticut,19388.0,272352.0,275485.89999999997,30552208.720000003,73832.0,143293.0,145525.5,11319859.23,47782.0,255539.18000000002,1700447.6800000002
2014,10,Delaware,4583.0,95008.0,95370.7,9348900.53,23231.0,44106.0,44360.4,3232820.91,14178.0,113578.69,764000.31
2014,11,District of Columbia,5026.0,36411.0,36878.4,2634031.14,14248.0,17392.0,17643.600000000002,1082874.38,7815.0,28933.3,136305.90000000002
2014,12,Florida,58264.0,1362685.0,1377722.0999999999,126932712.96000001,382950.0,722753.0,732273.0,49892678.78,254161.0,1418090.68,13371553.280000003
2014,13,Georgia,25419.0,559282.0,562993.1,48912019.67,150249.0,265364.0,267598.00000000006,19554647.119999997,88135.0,680012.5000000001,5287351.350000001
2014,15,Hawaii,3756.0,45299.0,45851.0,4331476.100000001,14275.0,26914.0,27271.5,2065631.1,10106.0,27929.08,339082.48999999993
2014,16,Idaho,5196.0,70726.0,71756.4,7733667.12,18158.0,33271.0,33935.4,2954344.9000000004,10568.0,74060.03,746943.66
2014,17,Illinois,19256.0,181462.0,182157.80000000002,26295154.97,49770.0,81554.0,81943.3,8826600.58,27204.0,183739.08000000002,2110901.81
2014,18,Indiana,18932.0,354233.0,357950.99999999994,41176386.39999999,77882.0,148547.0,150922.4,12972979.040000001,41274.0,518398.94,3655183.96
2014,19,Iowa,9369.0,106147.0,107308.7,10449631.850000001,29160.0,60027.0,60800.4,4295582.61,18993.0,76485.40000000001,960059.3700000001
2014,20,Kansas,11092.0,170399.0,172060.4,19630535.02,41089.0,77661.0,78609.90000000001,6344749.9799999995,23442.0,169195.7,1757821.7900000003
2014,21,Kentucky,13227.0,339616.0,341518.60000000003,32855863.37,79991.0,152840.0,154027.7,12752773.51,41958.0,472927.63999999996,3366328.12
2014,22,Louisiana,12356.0,252055.0,253361.0,24968162.03,66797.0,110501.0,111222.5,8627443.96,37113.0,292537.64,2551601.6100000003
2014,23,Maine,7206.0,131577.0,133116.40000000002,12540860.889999999,29017.0,54644.0,55598.7,4211899.15,15846.0,101680.52,690247.74
2014,24,Maryland,27014.0,413496.0,419341.3,34293049.84,106991.0,197576.0,201562.6,13531227.9,64203.0,432676.02999999997,3152897.84
2014,25,Massachusetts,41706.0,590226.0,590928.9,44751645.74,155401.0,275126.0,275532.3,15838258.139999999,89925.0,487604.36,2645784.04
2014,26,Michigan,29339.0,400473.0,407314.79999999993,57162590.28999999,97544.0,168871.0,172673.4,18556937.709999997,51550.0,455121.10000000003,3736556.5199999996
